OBJECTID,STATUS,COUNTY,NAME,BEGINNING_RANGE,ENDING_RANGE,STATE_PLANE_ZONE,COMMENTS,SHAPELEN
1,Critical,Volusia,"Ormond Beach, Daytona Beach,",R057,R121.4,East,,18731.4703514809
2,Critical,Volusia,"New Smyrna Beach, Bethume Beach",R160.8,R207.8,East,,13557.4751906001
3,Noncritical,Volusia,Canavereal National Shoreline,R207.8,R214,East,,1878.82841342008
4,Critical Inlet,Volusia,Ponce de Leon Inlet,R148,R149,East,,694.750680034621
5,Noncritical,Brevard,Canaveral National Shoreline,V320,V365,East,,13667.1124444839
6,Noncritical,Brevard,Canaveral National Shoreline,V417,V436,East,,5829.40070963337
7,Critical,Brevard,"Canaveral, Indiatlantic, Melbourne Beach",R001,R202,East,,58890.3442134357
8,Critical,Indian River,Wabasso Beach,R001,R051.3,East,,15343.5519697236
9,Critical,Indian River,Vero Beach,R070,R086,East,,4936.88399364197
10,Critical,Indian River,South County Beach,R099,R115.7,East,,5084.09277259816
11,Critical,Manatee,Passage Key,V001,V002,West,,610.947301126316
12,Critical,Brevard,Canaveral National Shoreline,V365,V390,East,,7591.53378676995
13,Critical,Volusia,Northern Volusia and Ormond-By-The-Sea,R-24,R-33,East,,2595.49546529363
14,Critical,St. Lucie,South of Ft. Pierce Inlet,R034,R046,East,,3567.3110405631
15,Noncritical,St. Lucie,North Hutchinson Island,R046,R080,East,,10202.0879730492
16,Critical,St. Lucie,Power Plant Area,R080,R090.3,East,,3149.79837850369
17,Noncritical,St. Lucie,The Narrows of Hutchinson Island,R090.3,R098,East,,2293.45800093829
18,Critical,St. Lucie,South Hutchinson Island,R098,R115,East,,5432.23400683467
19,Critical,Martin,Hutchinson Island,R001,R040,East,,10712.9092342475
20,Critical,Martin,Hobe Sound NWR,R045,R111,East,,18159.9747852927
21,Critical,Martin,Blowing Rocks,R126,R127.4,East,,399.205623144706
22,Critical,Palm Beach,"Tequesta, Jupiter Inlet Colony",R001,R010,East,,2415.85664301056
23,Critical Inlet,Palm Beach,"North Shore, Jupiter Inlet",R012,R013,East,,245.741408323669
24,Critical Inlet,Palm Beach,"South Shore, Jupiter Inlet",R012,R013,East,,357.987987782887
25,Critical,Palm Beach,"Jupiter Beach Colony Park, Carlin Park",R012,R038,East,,8072.75230256546
26,Noncritical,Palm Beach,Juno Beach,R038,R040,East,,577.863663178825
27,Noncritical,Palm Beach,John D. MacArthur State Park,R058,R060.5,East,,783.405962429346
28,Critical,Palm Beach,Singer Island,R060.5,R069,East,,2988.30713941157
29,Critical,Palm Beach,Palm Beach,R076,R128,East,,17490.9199674029
30,Critical,Palm Beach,South Palm Beach,R128.5,R145.8,East,,5810.96473863011
31,Critical,Palm Beach,"Ocean Ridge, Briny Breezes",R152,R168,East,,5173.60681387457
32,Critical,Palm Beach,Delray Beach,R176,R190,East,,4640.66531533357
33,Critical,Palm Beach,"Spanish River Park, Red Reef Park",R204,R227.9,East,,8058.54435815495
34,Critical,Broward,"Deerfield Beach, Hillsboro Beach",R003,R023,East,,6107.98835986647
35,Critical,Broward,"Pampano Beach, Ft. Lauderdale",R025,R077,East,,15738.5753954337
36,Critical,Broward,John U. Lloyd State Recreation Area,R086,R128,East,,13082.5669420429
37,Critical,Dade,"Golden Beach, Sunny Isles",R001,R026.7,East,,8254.95089228333
38,Critical,Dade,"Bal Harbour, Surfside, Miami Beach",R027,R074.4,East,,15213.9616197039
39,Noncritical Inlet,Dade,"South Shore, Norris Cut",R078,R079,East,,908.749859082975
40,Noncritical,Dade,Virginia Key,R084,R088,East,,1265.20546585538
41,Noncritical,Dade,Key Biscayne,R089,R092,East,,1050.38120685124
42,Critical,Dade,Key Biscayne,R101,R113,East,,3789.16822009696
43,Critical,Escambia,Perdido Key,R001,R034,North,,4772.29599123954
44,Noncritical,Escambia,Gulf Islands National Seashore,R034,R065,North,,9574.51257308202
45,Noncritical,Escambia,Gulf Islands National Seashore,R079,R107,North,,8579.62151354831
46,Critical,Escambia,Pensacola Beach,R107,R151,North,,13199.6085910125
