EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5570561,NASSAU (ZONE), ,11/15/1996,600,Coastal Flood, , ,0,0,100000,0,FL,EST, ,1027204,Z,24,JAX,0,0, , , , , , , , , ,11/16/1996,1800, , , , ,"","A strong nor'easter proved mightier than man-made anti-erosion devices along Amelia Island. Easterly winds of 30 to 40 mph and crashing waves caused severe beach erosion mainly along a quarter mile on the southern most developments.",1
5649266,PASCO CO.,NEW PORT RICHEY,03/08/1998,2230,Coastal Flood, , ,0,0,175000,0,FL,EST, ,1062504,C,101,TBW,0,0, , , , , , , , ,NEW PORT RICHEY,03/09/1998,300, , , , ,"Winds in excess of 50 mph caused coastal flooding and beach erosion to several locations west of U.S. Highway 19 in New Port Richey.  Several roads had water that covered roadways two to three feet deep and were impassable for several hours.","",2
5691543,ESCAMBIA CO.,PENSACOLA BEACH,03/13/1999,1200,Coastal Flood, , ,0,0,2000,0,FL,CST, ,1500343,C,33,MOB,0,0,EMERGENCY MANAGER, , , , , , , ,PENSACOLA BEACH,03/14/1999,300, , , , ,"","Southeast winds of 20 to 30 mph ahead of a cold front caused above normal tides across the Northwest Florida coastal areas.  Some minor street flooding took place from Pensacola Beach to Destin.  All roads remained open but several roads that run next to and parallel to the Gulf of Mexico had some standing water in them.  The standing water remained in the road for several hours until the winds became more westerly on Sunday morning.",3
5691545,OKALOOSA CO.,FT WALTON BEACH,03/13/1999,1200,Coastal Flood, , ,0,0,2000,0,FL,CST, ,1500343,C,91,MOB,0,0,EMERGENCY MANAGER, , , , , , , ,FT WALTON BEACH,03/14/1999,300, , , , ,"","Southeast winds of 20 to 30 mph ahead of a cold front caused above normal tides across the Northwest Florida coastal areas.  Some minor street flooding took place from Pensacola Beach to Destin.  All roads remained open but several roads that run next to and parallel to the Gulf of Mexico had some standing water in them.  The standing water remained in the road for several hours until the winds became more westerly on Sunday morning.",4
5691544,SANTA ROSA CO.,NAVARRE,03/13/1999,1200,Coastal Flood, , ,0,0,2000,0,FL,CST, ,1500343,C,113,MOB,0,0,EMERGENCY MANAGER, , , , , , , ,NAVARRE,03/14/1999,300, , , , ,"","Southeast winds of 20 to 30 mph ahead of a cold front caused above normal tides across the Northwest Florida coastal areas.  Some minor street flooding took place from Pensacola Beach to Destin.  All roads remained open but several roads that run next to and parallel to the Gulf of Mexico had some standing water in them.  The standing water remained in the road for several hours until the winds became more westerly on Sunday morning.",5
5717714,ESCAMBIA CO.,PENSACOLA BEACH,09/20/1999,630,Coastal Flood, , ,0,0,0,0,FL,CST, ,2414340,C,33,MOB,0,0,EMERGENCY MANAGER, , , , , , , ,PENSACOLA BEACH,09/20/1999,700, , , , ,"Minor coastal flooding was reported along the west end of State Highway 399 near Fort Pickens.  Two inches of water was reported in the street but vehicles were still able to drive through without any trouble.  The high water occurred around high tide and quickly went down as the tide fell..  The tide gage near downtown Pensacola reported a height of 2.61 feet around the time of flooding.","",6
1197,COASTAL SANTA ROSA (ZONE), ,10/27/2006,400,Coastal Flood, , ,0,0,20000,0,FL,CST-6, ,249,Z,4,MOB,0,0,Emergency Manager, , , , , , , , ,10/27/2006,900, , , , ,"Strong southerly winds brought coastal flooding to low lying areas along the coast.  Above normal tides and beach erosion were observed from Fort Pickens to Destin.  The tides were high enough to flood several of the roads along Santa Rosa Island, especially near Fort Pickens and Navarre Beach.","Same as Alabama.",7
1198,COASTAL OKALOOSA (ZONE), ,10/27/2006,400,Coastal Flood, , ,0,0,10000,0,FL,CST-6, ,249,Z,6,MOB,0,0,Emergency Manager, , , , , , , , ,10/27/2006,900, , , , ,"Strong southerly winds brought coastal flooding to low lying areas along the coast.  Above normal tides and beach erosion were observed from Fort Pickens to Destin.  The tides were high enough to flood several of the roads along Santa Rosa Island, especially near Fort Pickens and Navarre Beach.","Same as Alabama.",8
1036,COASTAL ESCAMBIA (ZONE), ,10/27/2006,400,Coastal Flood, , ,0,0,20000,0,FL,CST-6, ,249,Z,2,MOB,0,0,Emergency Manager, , , , , , , , ,10/27/2006,900, , , , ,"Strong southerly winds brought coastal flooding to low lying areas along the coast.  Above normal tides and beach erosion were observed from Fort Pickens to Destin.  The tides were high enough to flood several of the roads along Santa Rosa Island, especially near Fort Pickens and Navarre Beach.","Same as Alabama.",9
12838,LEVY (ZONE), ,02/02/2007,35,Coastal Flood, , ,0,0,0,0,FL,EST-5, ,2545,Z,39,TBW,0,0,Emergency Manager, , , , , , , , ,02/02/2007,235, , , , ,"Minor coastal flooding of low spots was reported by emergency management.","A developing area of low pressure over the western Gulf of Mexico on Thursday, February 1 intensified and moved off the mid Atlantic coast Friday.  Numerous thunderstorms developed out ahead of and along the associated cold front that pushed into southern Florida late Friday. The first tornado of the year to use the Enhanced Fujita Scale occurred just after 3 AM Friday in The Villages in northeast Sumter County.  Several violent tornadoes were reported across central Florida early Friday morning. This violent tornado outbreak was the largest in Florida since the  Kissimmee tornadoes of February 22-23, 1998. |In addition to the tornadoes, gusty southwest winds ahead of the cold front combined with high tide to cause areas of minor coastal flooding along west and southwest facing shorelines north of Tampa Bay.",10
12842,CITRUS (ZONE), ,02/02/2007,35,Coastal Flood, , ,0,0,0,0,FL,EST-5, ,2545,Z,42,TBW,0,0,Trained Spotter, , , , , , , , ,02/02/2007,235, , , , ,"A trained SKYWARN Spotter reported water approaching his home near Ozello and estimated the tide was 4 feet above normal.","A developing area of low pressure over the western Gulf of Mexico on Thursday, February 1 intensified and moved off the mid Atlantic coast Friday.  Numerous thunderstorms developed out ahead of and along the associated cold front that pushed into southern Florida late Friday. The first tornado of the year to use the Enhanced Fujita Scale occurred just after 3 AM Friday in The Villages in northeast Sumter County.  Several violent tornadoes were reported across central Florida early Friday morning. This violent tornado outbreak was the largest in Florida since the  Kissimmee tornadoes of February 22-23, 1998. |In addition to the tornadoes, gusty southwest winds ahead of the cold front combined with high tide to cause areas of minor coastal flooding along west and southwest facing shorelines north of Tampa Bay.",11
