EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5552281,SANTA ROSA CO.,PACE,03/30/1996,800,Flash Flood, , ,0,0,1000,0,FL,CST, ,2037323,C,113,MOB,0,0, , , , , , , , ,PACE,03/30/1996,930, , , , ,"","HEAVY RAINS OF AROUND FIVE INCHES FLOODED SEVERAL ROADS JUST SOUTH OF U. S. HIGHWAY 90 IN PACE.  THE ROADS WERE CLOSED BETWEEN 800 AM AND 930 AM UNTIL THE WATER HAD HAD TIME TO DRAIN.",1
5543623,ESCAMBIA CO.,CANTONMENT,04/14/1996,2300,Flash Flood, , ,0,0,35000,0,FL,CST, ,2032263,C,33,MOB,0,0, , , , , , , , ,CANTONMENT,04/15/1996,400, , , , ,"","Heavy rains of eight to ten inches caused several roads to flood in the north part of the county Sunday night.  Parts of U. S. Hwy 29 near Cantonment had to be closed due to high water.  The highway was reopened Monday morning after the water had time to drain.  County road 95A had to also be temporarily closed.",2
5543624,SANTA ROSA CO.,JAY,04/14/1996,2330,Flash Flood, , ,0,0,30000,0,FL,CST, ,2032264,C,113,MOB,0,0, , , , , , , , ,JAY,04/15/1996,500, , , , ,"","Heavy rains of eight to ten inches caused several roads in the north part of the county to be closed.  The heaviest rains were generally along and north of State Hwy 4.  Parts of Hwy 4 had to be closed between Jay and Berrydale until the water had drained.  Some of the dirt roads that run off of Hwy 4 were washed out.",3
5558874,BREVARD CO.,WEST COCOA,06/08/1996,1515,Flash Flood, , ,0,0,20000,0,FL,EST, ,2042930,C,9,MLB,0,0, , , , , , , , ,WEST COCOA,06/08/1996,1615, , , , ,"","Thunderstorms with heavy rain produced minor flooding of streets and four houses in West Cocoa.",4
5553275,PUTNAM CO.,ORANGE MILLS,06/15/1996,1700,Flash Flood, , ,0,0,0,0,FL,EST, ,2035163,C,107,JAX,0,0, , , , , , , , ,ORANGE MILLS,06/15/1996,1900, , , , ,"","Flooding submerged a mobile home on a creek off SR-207 and
Kelly Road near Orange Mills. Four persons evacuated.",5
5553286,DUVAL CO.,JACKSONVILLE,06/26/1996,2230,Flash Flood, , ,0,0,25000,0,FL,EST, ,2035174,C,31,JAX,0,0, , , , , , , , ,JACKSONVILLE,06/26/1996,2350, , , , ,"","Flooding along Ft. Caroline Road and University Blvd. At I-95 and I-10 interchange (2 feet), and Greenland Road in Mandarin was closed.",6
5557494,ALACHUA CO.,GAINESVILLE,07/06/1996,1400,Flash Flood, , ,0,0,500000,0,FL,EST, ,2041958,C,1,JAX,0,0, , , , , , , , ,GAINESVILLE,07/06/1996,1530, , , , ,"","Ten homes had flood damage with streets and roads closed in the Hogtown Creek area. At 19900 CR-239 more than 50 feet of roadway was washed away.",7
5557225,BAKER CO.,MACCLENNY,07/31/1996,1845,Flash Flood, , ,0,0,5000,0,FL,EST, ,2043248,C,3,JAX,0,0, , , , , , , , ,MACCLENNY,07/31/1996,2000, , , , ,"","5.5 inches of rain closed 7 roads through out the county.",8
5564359,OSCEOLA CO.,KISSIMMEE,08/26/1996,1930,Flash Flood, , ,0,0,0,0,FL,EST, ,2047261,C,97,MLB,0,0, , , , , , , , ,KISSIMMEE,08/26/1996,2030, , , , ,"","Heavy rain produced flooding in 2 homes in Kissimmee.",9
5557990,JACKSON CO.,TWO EGG,08/30/1996,1947,Flash Flood, , ,0,0,20000,0,FL,CST, ,2043512,C,63,TAE,0,0, , , , , , , , ,TWO EGG,08/30/1996,2247, , , , ,"","Heavy rainfall closed several roads, flooded many houses, and sent cars into ditches in northern Jackson county between Greenwood and Two Egg.",10
5566034,DUVAL CO.,JACKSONVILLE,09/11/1996,1930,Flash Flood, , ,0,0,20000,0,FL,EST, ,2045145,C,31,JAX,0,0, , , , , , , , ,JACKSONVILLE,09/11/1996,2300, , , , ,"","More than 4.5 inches of rain fell on the Westside of Jacksonville in less than six hours, produced flooding at Edgewood and Lenox Avenues, the intersection of I-10/I-95, and at the airport, where Duval and Pecan roads meet. A furniture store at 597 Edgewood Avenue South had more than $150,000 worth of damage to imported furniture, oriental rugs, and the store's carpet.",11
