EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5575174,PINELLAS CO.,ST. PETERSBURG,01/01/1996,2300,Flood, , ,0,0,0,0,FL,EST, ,2049202,C,103,TBW,0,0, , , , , , , , ,ST. PETERSBURG,01/02/1996,200, , , , ,"","Heavy rain of up to four inches in less than an hour caused standing water six inches deep in parts of St. Petersburg.",1
5574015,HILLSBOROUGH CO.,TAMPA,02/02/1996,2300,Flood, , ,0,0,0,0,FL,EST, ,2049525,C,57,TBW,0,0, , , , , , , , ,TAMPA,02/03/1996,800, , , , ,"","Three to five inches of rain fell within nine hours over most of the Tampa metropolitan area.",2
5574014,PINELLAS CO.,ST. PETERSBURG,02/02/1996,2300,Flood, , ,0,0,0,0,FL,EST, ,2049524,C,103,TBW,0,0, , , , , , , , ,ST. PETERSBURG,02/03/1996,800, , , , ,"","Three to four inches of rain fell within nine hours over most of the St. Petersburg metropolitan area.",3
5574013,PASCO CO.,NEW PORT RICHEY,02/02/1996,2300,Flood, , ,0,0,0,0,FL,EST, ,1023649,C,101,TBW,0,0, , , , , , , , ,NEW PORT RICHEY,02/03/1996,500, , , , ,"","Three to five inches of rain was reported from New Port Richey to Holiday in Southwest Pasco county in less than six hours.",4
5574016,POLK CO.,BARTOW,02/03/1996,100,Flood, , ,0,0,0,0,FL,EST, ,2049526,C,105,TBW,0,0, , , , , , , , ,BARTOW,02/03/1996,500, , , , ,"","Three to four inches of rain fell within four hours from Bartow to Haines City.",5
5545309,ALACHUA (ZONE), ,03/30/1996,1736,Flood, , ,0,0,10000,0,FL,EST, ,2032499,Z,36,JAX,0,0, , , , , , , , , ,03/30/1996,2000, , , , ,"","Fooding reported on many roadways in and near city limits. A water depth of 2 feet occured in isolated low areas.",6
5573826,PINELLAS CO.,TARPON SPRINGS,04/30/1996,632,Flood, , ,0,0,0,0,FL,EST, ,2050026,C,103,TBW,0,0, , , , , , , , ,TARPON SPRINGS,04/30/1996,830, , , , ,"","Excessive heavy rainfall of up to 3.25 inches in less than three hours caused minor street flooding in low-lying and areas of poor drainage in the heavily urbanized areas of western Pinellas county. The most concentrated street flooding was reported along U.S. Highway 19 and Ulmerton Road.",7
5574070,LEVY CO.,CHIEFLAND,06/10/1996,800,Flood, , ,0,0,0,0,FL,EST, ,2050096,C,75,TBW,0,0, , , , ,12,SE,12,SE,CHIEFLAND,06/10/1996,1100, , , , ,"","Up to five inches of rain in less than two hours produced localized flooding of low lying areas along the U.S. Highway 19 corridor.",8
5574071,HILLSBOROUGH CO.,TAMPA,06/12/1996,1400,Flood, , ,0,0,0,0,FL,EST, ,2050097,C,57,TBW,0,0, , , , ,3,N,3,N,TAMPA,06/12/1996,1600, , , , ,"","Heavy rainfall of up to 3.25 inches in one hour caused localized street flooding from Carrollwood to Lutz in the north Tampa metropolitan area.",9
5574073,LEVY CO.,CHIEFLAND,06/15/1996,1100,Flood, , ,0,0,0,0,FL,EST, ,2050099,C,75,TBW,0,0, , , , ,19,SE,19,SE,CHIEFLAND,06/15/1996,1400, , , , ,"","Heavy rainfall of up to five inches in less than two hours caused localized street flooding from Lebanon to Otter Creek along the U.S. Highway 19 corridor.",10
