Florida, Precipitation, December
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,1.65,-1.05
189612,2.40,-0.30
189712,2.97,0.27
189812,3.80,1.10
189912,2.05,-0.65
190012,4.88,2.18
190112,3.07,0.37
190212,3.57,0.87
190312,2.02,-0.68
190412,1.82,-0.88
190512,7.12,4.42
190612,0.91,-1.79
190712,5.75,3.05
190812,0.91,-1.79
190912,2.90,0.20
191012,0.95,-1.75
191112,4.76,2.06
191212,2.32,-0.38
191312,3.06,0.36
191412,4.23,1.53
191512,2.59,-0.11
191612,4.24,1.54
191712,1.52,-1.18
191812,3.78,1.08
191912,2.67,-0.03
192012,3.70,1.00
192112,2.21,-0.49
192212,2.76,0.06
192312,1.34,-1.36
192412,2.52,-0.18
192512,5.95,3.25
192612,1.02,-1.68
192712,3.06,0.36
192812,1.36,-1.34
192912,2.58,-0.12
193012,4.09,1.39
193112,2.80,0.10
193212,1.07,-1.63
193312,0.68,-2.02
193412,1.03,-1.67
193512,2.46,-0.24
193612,2.88,0.18
193712,1.11,-1.59
193812,1.14,-1.56
193912,1.94,-0.76
194012,5.89,3.19
194112,3.80,1.10
194212,3.44,0.74
194312,1.56,-1.14
194412,0.76,-1.94
194512,4.83,2.13
194612,0.99,-1.71
194712,2.78,0.08
194812,2.75,0.05
194912,2.27,-0.43
195012,2.76,0.06
195112,2.59,-0.11
195212,1.43,-1.27
195312,5.98,3.28
195412,1.88,-0.82
195512,1.31,-1.39
195612,0.92,-1.78
195712,2.62,-0.08
195812,3.59,0.89
195912,1.72,-0.98
196012,1.69,-1.01
196112,2.05,-0.65
196212,1.47,-1.23
196312,3.59,0.89
196412,4.32,1.62
196512,2.76,0.06
196612,1.95,-0.75
196712,3.83,1.13
196812,2.02,-0.68
196912,4.39,1.69
197012,1.51,-1.19
197112,3.08,0.38
197212,3.13,0.43
197312,3.99,1.29
197412,2.62,-0.08
197512,2.15,-0.55
197612,3.53,0.83
197712,4.60,1.90
197812,3.91,1.21
197912,2.73,0.03
198012,0.81,-1.89
198112,2.95,0.25
198212,2.94,0.24
198312,5.87,3.17
198412,0.67,-2.03
198512,2.87,0.17
198612,4.41,1.71
198712,1.01,-1.69
198812,1.28,-1.42
198912,3.89,1.19
199012,1.40,-1.30
199112,1.05,-1.65
199212,1.25,-1.45
199312,2.05,-0.65
199412,3.37,0.67
199512,1.61,-1.09
199612,3.04,0.34
199712,7.26,4.56
199812,1.51,-1.19
199912,1.82,-0.88
200012,1.62,-1.08
200112,1.35,-1.35
200212,6.18,3.48
200312,2.25,-0.45
200412,2.40,-0.30
200512,3.24,0.54
200612,3.24,0.54
200712,2.47,-0.23
200812,2.03,-0.67
200912,5.71,3.01
201012,1.11,-1.59
201112,1.75,-0.95
201212,2.71,0.01
201312,2.51,-0.19
201412,2.78,0.08
201512,3.49,0.79
201612,2.72,0.02
201712,1.68,-1.02
201812,7.18,4.48
201912,4.64,1.94
202012,2.33,-0.37
202112,1.71,-0.99
202212,1.76,-0.94
