Date,Value
189501,4.06
189502,3.77
189503,2.66
189504,4.84
189505,4.96
189506,5.97
189507,7.42
189508,7.27
189509,3.95
189510,2.7
189511,2.74
189512,1.65
189601,3.48
189602,3.63
189603,2.7
189604,0.85
189605,2.39
189606,10.93
189607,7.27
189608,5.26
189609,4.21
189610,3.33
189611,3.89
189612,2.4
189701,1.57
189702,6.59
189703,3.25
189704,4.25
189705,1.57
189706,5.66
189707,8.56
189708,7.94
189709,9.24
189710,3.94
189711,1.46
189712,2.97
189801,0.95
189802,1.68
189803,1.07
189804,1.91
189805,1.43
189806,4
189807,9.57
189808,13.49
189809,6.08
189810,6.49
189811,3.22
189812,3.8
189901,4.84
189902,6.03
189903,1.99
189904,3.78
189905,1.25
189906,6.61
189907,7.34
189908,6.62
189909,5.15
189910,5.05
189911,0.8
189912,2.05
190001,3.24
190002,5.15
190003,6.75
190004,4.8
190005,4.55
190006,9.2
190007,7.27
190008,4.64
190009,4.47
190010,5.13
190011,1.58
190012,4.88
190101,2.67
190102,4.31
190103,5.18
190104,2.31
190105,4.32
190106,9.11
190107,7.47
190108,11.2
190109,6.05
190110,1.73
190111,1.04
190112,3.07
190201,0.77
190202,5.31
190203,5.2
190204,1.35
190205,2.32
190206,5.75
190207,5.31
190208,4.78
190209,9.03
190210,6.29
190211,2.81
190212,3.57
190301,4.8
190302,5.61
190303,5.83
190304,0.6
190305,4.9
190306,6.54
190307,6.88
190308,7.3
190309,7.64
190310,1.59
190311,2.93
190312,2.02
190401,4.55
190402,2.79
190403,1.98
190404,1.66
190405,2.65
190406,7.35
190407,6.17
190408,7.25
190409,3.68
190410,5.19
190411,2.89
190412,1.82
190501,1.73
190502,3.4
190503,3.69
190504,2.57
190505,5.93
190506,4.62
190507,8.82
190508,9.98
190509,6.22
190510,2.91
190511,0.84
190512,7.12
190601,4.25
190602,2.65
190603,3.07
190604,1.35
190605,6.97
190606,8.41
190607,9.82
190608,8.38
190609,4.98
190610,3.11
190611,0.98
190612,0.91
190701,0.76
190702,1.42
190703,0.8
190704,3.28
190705,5.8
190706,5.98
190707,7.08
190708,6.45
190709,8.29
190710,1.34
190711,2.34
190712,5.75
190801,3.12
190802,2.46
190803,1.01
190804,3.14
190805,3.01
190806,6.04
190807,6.54
190808,7.67
190809,8.98
190810,2.57
190811,1.71
190812,0.91
190901,1.48
190902,1.87
190903,2.87
190904,2.93
190905,4.48
190906,6.75
190907,11.04
190908,8.68
190909,3.71
190910,1.65
190911,0.81
190912,2.9
191001,1.36
191002,3.21
191003,1.75
191004,1.5
191005,2.91
191006,10.07
191007,7.79
191008,8.33
191009,3.38
191010,8.15
191011,1.7
191012,0.95
191101,1.37
191102,0.22
191103,2.17
191104,2.39
191105,4.81
191106,4.93
191107,6.77
191108,8.11
191109,3.83
191110,5.36
191111,3.95
191112,4.76
191201,4.83
191202,3.25
191203,4.15
191204,4.51
191205,5.37
191206,10.72
191207,5.46
191208,6.23
191209,9.05
191210,4.45
191211,3.13
191212,2.32
191301,1.94
191302,4.72
191303,5.43
191304,2.24
191305,3.39
191306,5.51
191307,5.42
191308,7.14
191309,5.41
191310,2.81
191311,1.13
191312,3.06
191401,4.12
191402,5.16
191403,1.58
191404,2.73
191405,2.01
191406,4.5
191407,6.11
191408,5.85
191409,7.34
191410,4.2
191411,2.67
191412,4.23
191501,5.58
191502,3.75
191503,2.53
191504,1.38
191505,6.06
191506,5.74
191507,7.67
191508,7.16
191509,5.16
191510,6.79
191511,2.53
191512,2.59
191601,1.13
191602,1.29
191603,1.03
191604,2.8
191605,3.66
191606,6.39
191607,8.65
191608,5.94
191609,4.63
191610,4.32
191611,3.26
191612,4.24
191701,1.76
191702,2.08
191703,2.23
191704,1.62
191705,2.6
191706,5.78
191707,7.09
191708,7.65
191709,7.54
191710,2.72
191711,0.54
191712,1.52
191801,3.06
191802,0.85
191803,2.34
191804,5.37
191805,2.49
191806,5.34
191807,5.24
191808,6.07
191809,6.38
191810,5.26
191811,3.36
191812,3.78
191901,2.41
191902,4.99
191903,5.36
191904,2.22
191905,6.01
191906,7.01
191907,8.72
191908,7.61
191909,4.42
191910,2.16
191911,3.07
191912,2.67
192001,2.7
192002,4.8
192003,1.35
192004,6.44
192005,4.71
192006,5.88
192007,7.68
192008,6.93
192009,7.55
192010,1.94
192011,4.17
192012,3.7
192101,1.27
192102,1.97
192103,1.91
192104,2.11
192105,5.48
192106,3.5
192107,8.33
192108,4.89
192109,2.48
192110,8.23
192111,2.57
192112,2.21
192201,2.36
192202,2.97
192203,2.64
192204,1.15
192205,7.25
192206,7.21
192207,6.64
192208,7.57
192209,8.21
192210,8.78
192211,1.35
192212,2.76
192301,1.91
192302,1.83
192303,2.37
192304,2.78
192305,8.28
192306,9.47
192307,7.1
192308,7.46
192309,4.78
192310,2.7
192311,1.01
192312,1.34
192401,4.25
192402,3.56
192403,5.92
192404,3.34
192405,2.82
192406,6.22
192407,9.94
192408,4.7
192409,8.79
192410,8.9
192411,0.37
192412,2.52
192501,4.8
192502,1.99
192503,1.83
192504,1.53
192505,5.31
192506,6.62
192507,7.23
192508,7
192509,2.64
192510,3.59
192511,3.28
192512,5.95
192601,5.87
192602,2.36
192603,4.44
192604,4.47
192605,2.62
192606,8.41
192607,9.57
192608,9.01
192609,8.73
192610,2.32
192611,3.02
192612,1.02
192701,0.32
192702,3.49
192703,2.23
192704,1.37
192705,1.1
192706,7.45
192707,6.98
192708,6.6
192709,3.83
192710,3.55
192711,1.06
192712,3.06
192801,0.74
192802,3.15
192803,4.76
192804,7.58
192805,3.6
192806,7.3
192807,8.14
192808,10.57
192809,11.52
192810,2.71
192811,0.73
192812,1.36
192901,3.19
192902,2.33
192903,3.55
192904,3.47
192905,4.95
192906,8.09
192907,8.23
192908,6.23
192909,10.59
192910,4.08
192911,1.57
192912,2.58
193001,3.63
193002,2.9
193003,7.65
193004,3.47
193005,4.08
193006,10.34
193007,5.01
193008,4.38
193009,8.76
193010,2.54
193011,3.56
