Florida, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189507,80.8,-0.2
189607,81.3,0.3
189707,81.5,0.5
189807,81.1,0.1
189907,80.6,-0.4
190007,81.7,0.7
190107,81.5,0.5
190207,81.8,0.8
190307,80.7,-0.3
190407,79.6,-1.4
190507,81.3,0.3
190607,80.3,-0.7
190707,80.9,-0.1
190807,80.6,-0.4
190907,80.3,-0.7
191007,79.4,-1.6
191107,79.7,-1.3
191207,81.0,0.0
191307,81.1,0.1
191407,81.0,0.0
191507,81.5,0.5
191607,80.1,-0.9
191707,80.4,-0.6
191807,79.6,-1.4
191907,80.3,-0.7
192007,80.3,-0.7
192107,79.9,-1.1
192207,80.1,-0.9
192307,79.8,-1.2
192407,80.7,-0.3
192507,80.8,-0.2
192607,80.2,-0.8
192707,81.2,0.2
192807,80.9,-0.1
192907,79.5,-1.5
193007,81.7,0.7
193107,82.4,1.4
193207,83.0,2.0
193307,80.5,-0.5
193407,80.8,-0.2
193507,80.1,-0.9
193607,81.2,0.2
193707,80.5,-0.5
193807,79.6,-1.4
193907,80.7,-0.3
194007,80.9,-0.1
194107,80.7,-0.3
194207,82.4,1.4
194307,80.9,-0.1
194407,80.4,-0.6
194507,80.3,-0.7
194607,80.5,-0.5
194707,79.2,-1.8
194807,80.6,-0.4
194907,81.0,0.0
195007,79.8,-1.2
195107,81.2,0.2
195207,81.8,0.8
195307,81.3,0.3
195407,81.3,0.3
195507,80.5,-0.5
195607,80.7,-0.3
195707,81.5,0.5
195807,81.4,0.4
195907,80.7,-0.3
196007,81.5,0.5
196107,81.0,0.0
196207,82.2,1.2
196307,81.0,0.0
196407,80.4,-0.6
196507,79.8,-1.2
196607,81.3,0.3
196707,80.0,-1.0
196807,80.5,-0.5
196907,82.0,1.0
197007,81.0,0.0
197107,80.5,-0.5
197207,80.5,-0.5
197307,81.4,0.4
197407,79.8,-1.2
197507,79.9,-1.1
197607,81.1,0.1
197707,81.6,0.6
197807,81.2,0.2
197907,82.1,1.1
198007,82.6,1.6
198107,82.6,1.6
198207,81.2,0.2
198307,82.2,1.2
198407,80.0,-1.0
198507,80.6,-0.4
198607,82.1,1.1
198707,82.3,1.3
198807,81.0,0.0
198907,81.6,0.6
199007,81.8,0.8
199107,81.7,0.7
199207,82.6,1.6
199307,82.5,1.5
199407,80.6,-0.4
199507,82.2,1.2
199607,82.2,1.2
199707,81.9,0.9
199807,83.6,2.6
199907,82.2,1.2
200007,82.3,1.3
200107,81.3,0.3
200207,81.5,0.5
200307,81.4,0.4
200407,81.8,0.8
200507,83.3,2.3
200607,82.0,1.0
200707,82.4,1.4
200807,81.2,0.2
200907,81.7,0.7
201007,83.4,2.4
201107,82.6,1.6
201207,82.4,1.4
201307,80.8,-0.2
201407,81.8,0.8
201507,82.8,1.8
201607,84.0,3.0
201707,82.8,1.8
201807,82.4,1.4
201907,82.8,1.8
202007,83.0,2.0
202107,81.9,0.9
202207,83.0,2.0
