Florida, Minimum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189507,71.6,0.3
189607,72.2,0.9
189707,72.1,0.8
189807,71.5,0.2
189907,71.5,0.2
190007,71.8,0.5
190107,72.2,0.9
190207,71.0,-0.3
190307,70.6,-0.7
190407,68.9,-2.4
190507,71.7,0.4
190607,71.6,0.3
190707,71.3,0.0
190807,70.7,-0.6
190907,71.5,0.2
191007,69.9,-1.4
191107,69.7,-1.6
191207,71.7,0.4
191307,70.8,-0.5
191407,71.1,-0.2
191507,71.7,0.4
191607,71.2,-0.1
191707,70.8,-0.5
191807,69.3,-2.0
191907,71.1,-0.2
192007,70.8,-0.5
192107,70.7,-0.6
192207,70.4,-0.9
192307,70.8,-0.5
192407,71.1,-0.2
192507,71.2,-0.1
192607,70.7,-0.6
192707,71.0,-0.3
192807,71.1,-0.2
192907,69.7,-1.6
193007,71.6,0.3
193107,72.1,0.8
193207,72.3,1.0
193307,71.3,0.0
193407,71.0,-0.3
193507,71.0,-0.3
193607,71.4,0.1
193707,70.8,-0.5
193807,70.0,-1.3
193907,70.9,-0.4
194007,71.1,-0.2
194107,71.6,0.3
194207,71.7,0.4
194307,71.0,-0.3
194407,70.5,-0.8
194507,71.3,0.0
194607,71.1,-0.2
194707,69.8,-1.5
194807,71.0,-0.3
194907,71.6,0.3
195007,70.0,-1.3
195107,71.0,-0.3
195207,71.6,0.3
195307,71.6,0.3
195407,71.6,0.3
195507,70.6,-0.7
195607,70.4,-0.9
195707,71.8,0.5
195807,72.0,0.7
195907,71.2,-0.1
196007,72.1,0.8
196107,70.8,-0.5
196207,72.3,1.0
196307,71.1,-0.2
196407,71.2,-0.1
196507,70.2,-1.1
196607,71.9,0.6
196707,70.2,-1.1
196807,70.9,-0.4
196907,72.4,1.1
197007,71.0,-0.3
197107,70.5,-0.8
197207,70.2,-1.1
197307,71.6,0.3
197407,70.1,-1.2
197507,70.8,-0.5
197607,70.9,-0.4
197707,71.1,-0.2
197807,72.0,0.7
197907,72.3,1.0
198007,72.6,1.3
198107,72.0,0.7
198207,71.8,0.5
198307,71.9,0.6
198407,70.5,-0.8
198507,71.1,-0.2
198607,72.0,0.7
198707,72.2,0.9
198807,71.4,0.1
198907,72.0,0.7
199007,71.9,0.6
199107,72.5,1.2
199207,72.6,1.3
199307,72.2,0.9
199407,71.2,-0.1
199507,72.4,1.1
199607,72.8,1.5
199707,72.2,0.9
199807,73.8,2.5
199907,72.6,1.3
200007,72.1,0.8
200107,72.4,1.1
200207,72.3,1.0
200307,72.4,1.1
200407,72.0,0.7
200507,74.7,3.4
200607,72.2,0.9
200707,72.8,1.5
200807,72.0,0.7
200907,72.5,1.2
201007,74.4,3.1
201107,73.3,2.0
201207,72.8,1.5
201307,72.7,1.4
201407,72.5,1.2
201507,73.4,2.1
201607,74.2,2.9
201707,73.9,2.6
201807,73.5,2.2
201907,73.5,2.2
202007,74.0,2.7
202107,73.6,2.3
202207,74.0,2.7
