Florida, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,43.9,-3.8
189612,45.9,-1.8
189712,48.1,0.4
189812,46.7,-1.0
189912,46.7,-1.0
190012,47.8,0.1
190112,44.2,-3.5
190212,48.2,0.5
190312,38.9,-8.8
190412,45.6,-2.1
190512,47.8,0.1
190612,46.7,-1.0
190712,47.2,-0.5
190812,50.4,2.7
190912,42.6,-5.1
191012,39.7,-8.0
191112,51.4,3.7
191212,51.7,4.0
191312,49.0,1.3
191412,48.7,1.0
191512,42.6,-5.1
191612,47.8,0.1
191712,41.1,-6.6
191812,49.3,1.6
191912,47.3,-0.4
192012,45.9,-1.8
192112,50.4,2.7
192212,52.6,4.9
192312,52.2,4.5
192412,50.8,3.1
192512,46.3,-1.4
192612,50.9,3.2
192712,46.4,-1.3
192812,46.3,-1.4
192912,45.1,-2.6
193012,43.6,-4.1
193112,58.0,10.3
193212,52.0,4.3
193312,49.5,1.8
193412,45.8,-1.9
193512,39.1,-8.6
193612,50.6,2.9
193712,45.1,-2.6
193812,44.6,-3.1
193912,44.8,-2.9
194012,52.5,4.8
194112,51.6,3.9
194212,49.2,1.5
194312,45.4,-2.3
194412,42.9,-4.8
194512,44.6,-3.1
194612,50.9,3.2
194712,50.5,2.8
194812,54.0,6.3
194912,51.6,3.9
195012,43.0,-4.7
195112,52.2,4.5
195212,44.6,-3.1
195312,50.4,2.7
195412,42.6,-5.1
195512,47.9,0.2
195612,50.4,2.7
195712,45.2,-2.5
195812,47.3,-0.4
195912,46.9,-0.8
196012,42.1,-5.6
196112,48.5,0.8
196212,43.1,-4.6
196312,40.7,-7.0
196412,51.7,4.0
196512,46.9,-0.8
196612,45.3,-2.4
196712,52.1,4.4
196812,43.2,-4.5
196912,43.6,-4.1
197012,47.1,-0.6
197112,56.7,9.0
197212,51.4,3.7
197312,45.4,-2.3
197412,47.3,-0.4
197512,45.4,-2.3
197612,45.7,-2.0
197712,46.3,-1.4
197812,51.1,3.4
197912,48.3,0.6
198012,43.8,-3.9
198112,44.9,-2.8
198212,53.5,5.8
198312,48.2,0.5
198412,52.8,5.1
198512,44.4,-3.3
198612,54.0,6.3
198712,49.9,2.2
198812,46.9,-0.8
198912,40.7,-7.0
199012,51.7,4.0
199112,51.2,3.5
199212,49.9,2.2
199312,44.2,-3.5
199412,52.5,4.8
199512,46.4,-1.3
199612,48.3,0.6
199712,49.2,1.5
199812,54.2,6.5
199912,47.6,-0.1
200012,45.0,-2.7
200112,53.6,5.9
200212,45.9,-1.8
200312,43.8,-3.9
200412,46.9,-0.8
200512,46.0,-1.7
200612,54.4,6.7
200712,53.4,5.7
200812,50.8,3.1
200912,50.9,3.2
201012,37.1,-10.6
201112,52.0,4.3
201212,50.7,3.0
201312,54.5,6.8
201412,51.3,3.6
201512,60.8,13.1
201612,55.6,7.9
201712,51.1,3.4
201812,52.0,4.3
201912,54.0,6.3
202012,45.8,-1.9
202112,56.0,8.3
202212,51.3,3.6
